Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,N,N,ENW,ENW,ENW,ENW,ENW,N,N,N,N,N
1981,N,N,N,N,N,N,N,N,N,N,N,N
1982,N,N,N,N,ENW,ENA,EN,EN,EN,EN,EN,EN
1983,EN,EN,LNW,LNW,LNW,LNW,LNW,LNW,LNA,LNA,LN,LN
1984,LN,LNW,LNW,LNW,LNW,LN,LN,N,N,N,N,N
1985,N,N,LNA,LNA,N,LN,N,N,N,N,N,N
1986,N,N,N,N,N,N,ENA,ENA,ENA,ENA,EN,EN
1987,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
1988,EN,EN,LNW,LNA,LNA,LN,LN,LN,LN,LN,LN,LN
1989,LN,LN,LN,ENW,ENW,N,N,N,N,N,N,N
1990,ENW,ENW,ENA,ENA,N,N,N,N,N,N,N,N
1991,N,N,ENW,N,ENA,EN,EN,EN,EN,EN,EN,EN
1992,EN,EN,EN,EN,EN,EN,N,N,N,N,N,N
1993,N,N,ENA,ENA,EN,EN,N,N,N,N,N,N
1994,N,N,N,N,ENW,ENA,N,ENA,N,EN,EN,EN
1995,EN,EN,N,LNW,LNW,LNW,N,LNA,LN,LN,LN,LN
1996,N,N,ENW,ENW,ENW,ENW,N,N,N,N,N,N
1997,ENW,ENW,ENW,ENW,ENA,EN,EN,EN,EN,EN,EN,EN
1998,EN,EN,LNW,LNW,LNW,LNA,LNA,LN,LN,LN,LN,LN
1999,LN,LN,LN,LN,LN,LN,LN,LN,LN,LN,LN,LN
2000,LN,LN,ENW,ENW,ENW,ENW,N,N,N,LNA,LNA,LNA
2001,LN,N,ENW,ENW,ENW,N,ENW,N,N,N,N,N
2002,N,N,ENW,ENA,ENA,ENA,EN,EN,EN,EN,EN,EN
2003,EN,N,N,N,LNW,LNW,N,N,N,N,N,N
2004,N,N,N,N,N,N,ENW,ENA,ENA,ENA,ENA,ENA
2005,N,N,N,ENW,N,N,N,N,N,N,N,N
2006,N,N,N,N,N,N,ENW,ENA,EN,EN,EN,EN
2007,EN,N,LNW,LNW,LNA,LNA,LNA,LN,LN,LN,LN,LN
2008,LN,LN,LNA,LNA,N,N,N,N,N,N,LNA,LN
2009,LN,LN,ENW,ENW,ENW,ENW,ENW,ENA,ENA,ENA,EN,EN
2010,EN,EN,EN,LNW,LNA,LNA,LN,LN,LN,LN,LN,LN
2011,LN,LN,LN,N,N,N,N,N,LNA,LN,LN,LN
2012,LN,LN,N,N,ENW,ENW,N,N,N,N,N,N
2013,N,N,N,N,N,N,N,N,N,N,N,N
2014,N,ENW,ENW,ENA,ENA,ENA,ENA,ENW,ENW,ENW,ENA,ENA
2015,ENA,N,ENW,ENA,EN,EN,EN,EN,EN,EN,EN,EN
2016,EN,EN,EN,LNW,LNW,LNW,LNW,LNW,LNW,LNW,LNW,N
2017,N,N,ENW,ENW,ENW,ENW,N,N,N,N,LNW,LN
2018,LN,LN,N,N,N,ENW,ENW,ENW,ENW,ENA,ENA,ENA
2019,ENA,ENW,ENW,ENA,ENW,ENW,N,N,N,N,N,N
2020,N,N,N,N,N,N,LNW,LNW,LNA,LN,LN,LN
2021,LN,LN,LN,N,N,N,N,N,LNW,LNA,LNA,LN
2022,LN,LN,LN,LN,LN,LN,LNW,LNA,LN,LN,LN,LN
2023,LN,LN,ENW,ENW,ENW,ENA,ENA,ENA,EN,EN,EN,EN
2024,EN,EN,EN,N,LNW,LNW,LNW,na,na,na,na,na
